gene1,gene2,corr
TAL1,COL14A1,0.6622402173597637
TAL1,TTC28,0.6120281805730485
TAL1,CDO1,0.6465497515386802
TAL1,GIMAP7,0.6023063691844808
TAL1,STARD9,0.7217594685028268
TAL1,SOX17,0.7154198871389333
TAL1,RFTN2,0.6514733368398048
TAL1,CCL14,0.7264842160933596
TAL1,NOVA2,0.7103897262257941
TAL1,CEP112,0.6139962391848124
TAL1,PCDHB15,0.6301116851060249
TAL1,SLIT2,0.6496995974956126
TAL1,PTPRB,0.7949317074490172
TAL1,PGM5,0.7414689682753175
TAL1,ARAP3,0.6885226515450309
TAL1,CLDN11,0.6338186226494029
TAL1,CAPN11,0.6308860604048139
TAL1,KLHL29,0.609576165720369
TAL1,HIC1,0.6050302343561138
TAL1,CKS2,0.6072218297407526
TAL1,CLEC3B,0.7114046965596234
TAL1,GEM,0.614738852319571
TAL1,GPX3,0.6423910449340332
TAL1,CNRIP1,0.7468345700971067
TAL1,ITIH5,0.7407349576450798
TAL1,ATP1A2,0.6462262722245633
TAL1,FAM107A,0.6337670740739625
TAL1,PPP1R16B,0.6052947735254094
TAL1,PTPRM,0.6438655370122369
TAL1,LDB2,0.8162028521308727
TAL1,MYCT1,0.8207372307717234
TAL1,CCDC80,0.6255508845273084
TAL1,PI16,0.6095572717549477
TAL1,FAM162B,0.6207197577280311
TAL1,SNRK,0.6015727317379296
TAL1,CALCRL,0.6136052003224814
TAL1,CAV2,0.6560249417456646
TAL1,PCDH18,0.6235423386428945
TAL1,MYOCD,0.6656108436354077
TAL1,MECOM,0.6132252276255294
TAL1,ADCY4,0.8092456845174951
TAL1,SYNPO,0.6300788607224508
TAL1,SRPX,0.6159361130000972
TAL1,GPAM,0.6104130503876517
TAL1,CAV1,0.7694825769706308
TAL1,CASQ2,0.690881732947674
TAL1,NNAT,0.6004610274998985
TAL1,GIMAP1,0.6362261207464106
TAL1,SLCO1C1,0.637569815799749
TAL1,LIPE,0.6412207669832237
TAL1,CCNB1,0.6215203722186793
TAL1,BTNL9,0.7462227088984725
TAL1,EBF3,0.7825348289933944
TAL1,LIMS2,0.6928194890532476
TAL1,MRGPRF,0.6303063389050676
TAL1,DUSP1,0.6079995084893324
TAL1,NRIP2,0.6642761035597715
TAL1,BMX,0.7384192089281068
TAL1,TSHZ2,0.6386539698830886
TAL1,PAMR1,0.6453640889721248
TAL1,TGFBR2,0.7340366016974748
TAL1,MEF2C,0.6509876731325306
TAL1,ST6GALNAC3,0.668989688269783
TAL1,MFAP4,0.6539360518214119
TAL1,MEDAG,0.6406649941589245
TAL1,KDR,0.6374693504137274
TAL1,GRID1,0.6019218694962601
TAL1,LYVE1,0.6928306418442035
TAL1,CD93,0.7363747750394339
TAL1,CHRDL1,0.6549011835120402
TAL1,SCN3B,0.612278263742802
TAL1,PLAC9,0.7317263300656349
TAL1,PALMD,0.6284577437549291
TAL1,LMOD1,0.6566883516646143
TAL1,CRHBP,0.6311018588788976
TAL1,CCDC178,0.6106273150745862
TAL1,SVEP1,0.7258106223916974
TAL1,ATOH8,0.7185025356123542
TAL1,KIF4A,0.6008306500624013
TAL1,AQP1,0.7712220196982891
TAL1,ADCYAP1R1,0.6973005567279175
TAL1,VWF,0.7532188276946064
TAL1,SH3D19,0.6129469494586505
TAL1,FAM13C,0.6173786053901142
TAL1,CLEC1A,0.7520868510705411
TAL1,ESAM,0.73103444053164
TAL1,SPARCL1,0.7247542363323148
TAL1,INMT,0.7276639320879447
TAL1,EDNRB,0.6787258946999569
TAL1,ADAMTS9-AS2,0.7026545957738024
TAL1,SEMA3G,0.7368064134748951
TAL1,ITM2A,0.7065487880215301
TAL1,RCAN2,0.6168810509474856
TAL1,UBE2T,0.6177247792426604
TAL1,RDH5,0.639304919388999
TAL1,MAGI2-AS3,0.7036483030371949
TAL1,PEAR1,0.79682738043605
TAL1,ABCB1,0.6518505763795037
TAL1,CABP1,0.6361073134418892
TAL1,LAMA2,0.6553877149502637
TAL1,FAM110D,0.6227494658188103
TAL1,ATP1B2,0.6334086253425137
RAD21,SLC25A32,0.6667927423509092
RAD21,TBC1D31,0.6193463737966052
RAD21,NSMCE2,0.6114628687409643
RAD21,STK3,0.6094574408074256
RAD21,TAF2,0.7606025189812771
RAD21,RAD54B,0.6263302350703608
RAD21,YWHAZ,0.7387940562503336
RAD21,DCAF13,0.6996742742189931
RAD21,MTBP,0.7226713018030962
RAD21,ZNF623,0.6603181351025927
RAD21,NUDCD1,0.7341639645045841
RAD21,ATP6V1C1,0.6482048581767247
RAD21,PHF20L1,0.640842797168186
RAD21,MTDH,0.7182990132143557
RAD21,FAM91A1,0.7418798715296588
RAD21,CCNE2,0.6619232409456275
RAD21,TATDN1,0.6224592065528173
RAD21,ARMC1,0.6700714323209717
RAD21,PRKDC,0.6134792356690228
RAD21,EMC2,0.6552881978009587
RAD21,CENPE,0.6036041735761699
RAD21,UBR5,0.6116629902912616
RAD21,DERL1,0.6822185189378356
RAD21,UTP23,0.8373294509862861
RAD21,PTK2,0.6220113096542134
RAD21,SQLE,0.6280341549031921
RAD21,POLR2K,0.639344895946947
RAD21,OTUD6B,0.6464849441831405
RAD21,ATAD2,0.7382397605408518
RAD21,DSCC1,0.6916159523676603
RAD21,INTS8,0.6204095797494822
RAD21,AZIN1,0.7162950675753564
RAD21,MRPL13,0.6256677798078237
RAD21,MTFR1,0.6175899243868989
PABPC1,SLC25A32,0.6171070566877199
PABPC1,YWHAZ,0.6553697502173063
PABPC1,DCAF13,0.7038795164105981
PABPC1,NUDCD1,0.6584917496238114
PABPC1,EIF3E,0.657914902234345
PABPC1,TATDN1,0.631886127133446
PABPC1,PTDSS1,0.7074473944893898
PABPC1,RPL30,0.6538735574995157
PABPC1,MTERF3,0.6258276856454663
PABPC1,PABPC3,0.768430513364484
PABPC1,ZNF706,0.6503181765331264
CLTC,MTMR4,0.6271387020144562
CLTC,TRIM37,0.7612955689523584
CLTC,BPTF,0.6420809735643158
